run_name	barcode_id	sample_id	primer_scheme
library4-2018-03-02	BC04	ZK0110_2	ZIKV_KJ776791
library4-2018-03-02	BC05	ZK0111_2	ZIKV_KJ776791
library4-2018-03-02	BC06	ZK0111_2	ZIKV_KJ776791
library4-2018-03-02	BC07	ZK0128_2	ZIKV_KJ776791
library4-2018-03-02	BC08	ZK0128_2	ZIKV_KJ776791
library4-2018-03-02	BC09	ZK0141_2	ZIKV_KJ776791
library4-2018-03-02	BC10	ZK0141_2	ZIKV_KJ776791
library4-2018-03-02	BC11	NTC4	ZIKV_KJ776791
library4-2018-03-02	BC12	NTC4	ZIKV_KJ776791
library5-2018-03-05	BC11	LEISHMANIA	LEISHMANIA
library5-2018-03-05	BC12	LEISHMANIA	LEISHMANIA
library6-2018-03-06	BC11	LEISHMANIA	LEISHMANIA
library6-2018-03-06	BC12	LEISHMANIA	LEISHMANIA
library7-2018-03-11	BC01	ZK0085	CHIKV_KP164568
library7-2018-03-11	BC02	ZK0085	CHIKV_KP164568
library7-2018-03-11	BC03	ZK0046	CHIKV_KP164568
library7-2018-03-11	BC04	ZK0046	CHIKV_KP164568
library7-2018-03-11	BC05	ZK0145	CHIKV_KP164568
library7-2018-03-11	BC06	ZK0145	CHIKV_KP164568
library7-2018-03-11	BC07	ZK0135	CHIKV_KP164568
library7-2018-03-11	BC08	ZK0135	CHIKV_KP164568
library7-2018-03-11	BC09	ZK0171	CHIKV_KP164568
library7-2018-03-11	BC10	ZK0171	CHIKV_KP164568
library7-2018-03-11	BC11	NTC7	CHIKV_KP164568
library7-2018-03-11	BC12	NTC7	CHIKV_KP164568
library8-2018-04-06	BC11	LEISHMANIA	LEISHMANIA
library8-2018-04-06	BC12	LEISHMANIA	LEISHMANIA
library9-2018-09-10	BC01	ZIKA_03.0176_2	ZIKV_KJ776791
library9-2018-09-10	BC02	ZIKA_03.0176_2	ZIKV_KJ776791
library9-2018-09-10	BC03	ZK0075_3	ZIKV_KJ776791
library9-2018-09-10	BC04	ZK0075_3	ZIKV_KJ776791
library9-2018-09-10	BC05	ZK0099_2	ZIKV_KJ776791
library9-2018-09-10	BC06	ZK0099_2	ZIKV_KJ776791
library9-2018-09-10	BC07	ZK0110_3	ZIKV_KJ776791
library9-2018-09-10	BC08	ZK0110_3	ZIKV_KJ776791
library9-2018-09-10	BC09	ZK0152_2	ZIKV_KJ776791
library9-2018-09-10	BC10	ZK0152_2	ZIKV_KJ776791
library9-2018-09-10	BC11	NTC9	ZIKV_KJ776791
library9-2018-09-10	BC12	NTC9	ZIKV_KJ776791
library10-2019-01-16	BC01	ZK0038	CHIKV_KP164568
library10-2019-01-16	BC02	ZK0038	CHIKV_KP164568
library10-2019-01-16	BC03	ZK0066	CHIKV_KP164568
library10-2019-01-16	BC04	ZK0066	CHIKV_KP164568
library10-2019-01-16	BC05	ZK0143	CHIKV_KP164568
library10-2019-01-16	BC06	ZK0143	CHIKV_KP164568
library10-2019-01-16	BC07	ZK0180	CHIKV_KP164568
library10-2019-01-16	BC08	ZK0180	CHIKV_KP164568
library10-2019-01-16	BC09	ZK0186	CHIKV_KP164568
library10-2019-01-16	BC10	ZK0186	CHIKV_KP164568
library10-2019-01-16	BC11	NTC10	CHIKV_KP164568
library10-2019-01-16	BC12	NTC10	CHIKV_KP164568
library11-2019-04-26	BC01	ZK0162	CHIKV_KP164568
library11-2019-04-26	BC02	ZK0162	CHIKV_KP164568
library11-2019-04-26	BC03	ZK0302	CHIKV_KP164568
library11-2019-04-26	BC04	ZK0302	CHIKV_KP164568
library11-2019-04-26	BC05	ZK0329	CHIKV_KP164568
library11-2019-04-26	BC06	ZK0329	CHIKV_KP164568
library11-2019-04-26	BC07	ZK0339	CHIKV_KP164568
library11-2019-04-26	BC08	ZK0339	CHIKV_KP164568
library11-2019-04-26	BC09	ZK0597	CHIKV_KP164568
library11-2019-04-26	BC10	ZK0597	CHIKV_KP164568
library11-2019-04-26	BC11	NTC11	CHIKV_KP164568
library11-2019-04-26	BC12	NTC11	CHIKV_KP164568
library12-2019-05-22	BC01	TRDP173	ZIKV_KJ776791
library12-2019-05-22	BC02	TRDP173	ZIKV_KJ776791
library12-2019-05-22	BC03	TRDP238	ZIKV_KJ776791
library12-2019-05-22	BC04	TRDP238	ZIKV_KJ776791
library12-2019-05-22	BC05	TRDP252	ZIKV_KJ776791
library12-2019-05-22	BC06	TRDP252	ZIKV_KJ776791
library12-2019-05-22	BC07	TRDP256	ZIKV_KJ776791
library12-2019-05-22	BC08	TRDP256	ZIKV_KJ776791
library12-2019-05-22	BC09	TRDP274	ZIKV_KJ776791
library12-2019-05-22	BC10	TRDP274	ZIKV_KJ776791
library12-2019-05-22	BC11	NTC12	ZIKV_KJ776791
library12-2019-05-22	BC12	NTC12	ZIKV_KJ776791
library13-2019-05-23	BC01	TRDP282	ZIKV_KJ776791
library13-2019-05-23	BC02	TRDP282	ZIKV_KJ776791
library13-2019-05-23	BC03	TRDP300	ZIKV_KJ776791
library13-2019-05-23	BC04	TRDP300	ZIKV_KJ776791
library13-2019-05-23	BC05	TRDP309	ZIKV_KJ776791
library13-2019-05-23	BC06	TRDP309	ZIKV_KJ776791
library13-2019-05-23	BC07	TRDP317	ZIKV_KJ776791
